Claim번호,원문해시,개선전실패단계,개선전사유,지표,단위,주기,지역,대상집단,대표원인,보조원인JSON,적용규칙군,판정근거코드JSON,후보수,HardGuard통과후보수
claim_bca90962953a18c9,17e73278e25a7e695bb287be5c61e9bd25ff26eeaeeeab2f727c9e5ad74a9cd3,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,대,년,,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",123,0
claim_bf069e7a5b2482e3,f0b31b5d5656369eb288d31e48550f854861031abc1dc5be51d2238336de750d,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,인구,명,분기,,25~34세 인구,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",54,0
claim_c598b89c89778fed,6e1cf6669bcd96b779a43dea2ccb5c56bcff40258d40a17c3020c38bf13c143f,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출량,대,누계,,,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""FREQUENCY_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",20,0
claim_c91a83f4d40b12ab,0f933384331d804f8e0b1ebfa9789e70166b87b30b96e4076493f34e5a1586b4,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,상호출자제한기업집단 지정 기준 자산총액,조원,년,대한민국,기업집단,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",1,0
claim_cafe56bb76521bbb,f0e430837cf9868264b9909d23b8915a30cd80fa2f6998fd49ac7122ed4a3d05,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,실업률,%,월,,청년,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",48,1
claim_cbad041451547ab2,96078fb2dd5e6b5d36428507a2e6f7fb904fd4aadf642453d56f640341169465,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,년,지금,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,1
claim_cce2f043f3f0e786,4799f74e6938e3ce3b63a11c73d5ca11131d3941f5d7631fda5c955094b03203,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,비정규직 수 증감,명,월,,비정규직,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",20,0
claim_cdacc78d98fd1e6b,47779f7afc40029f523bf980edab5058744d778a2fa928e5ac27bb32629a75ea,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,달러,년,,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",120,0
claim_ce14765a78a0675e,fdce51fced082c95207f6ae4c7b5da00a83f2d67793a6b345dfff93ef341e448,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,부업자 수,명,월,국내,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT"", ""METADATA_INCOMPLETE"", ""REGION_GRANULARITY_CONFLICT"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",39,0
claim_d16538d7381cefb2,72e0198da407dc4a285be79a91cf5686daeb2810839e128022f2a656fd12d1f7,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,수입액,원,년,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",37,2
claim_d3cfc35992f45b90,c370b5e9b7fb79ac88c2bbcf290a1641876dec6725d77fee4a04432258884385,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,경제성장률,%,분기,전국,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",20,3
claim_e2ed9bf16de852a0,7e1f32deee4760a4998aa5254c140a4056c96e8159913ccb8ad1194be9e67b9f,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,일자리,개,월,,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT"", ""METADATA_INCOMPLETE"", ""UNIT_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",26,0
claim_e8ddfd4375ff8253,efb38ecaf7fe32768c42d42cfcb87663d0044f2274ea9ed4f0da89810da40fe5,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,실업률,%,년,,20대 후반,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",41,1
claim_e9cc4c0de10264a9,6c0ab07cf4ffd65b711146f55d027bbc88d1790172966a9ecd1c0dc67e1ed15d,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,무역수지 흑자,달러,분기,한국,,PERIOD_FREQUENCY_GAP,"[""FREQUENCY_CONFLICT"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""FREQUENCY_CONFLICT""]",1,0
claim_eb64c1ce7e5abde3,b55604b271a27ba2dfd51976da51882b863a2d9ce04300864e4df1cd9718ba10,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,사회보장현물 지출,%,년,대한민국,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",20,0
claim_ec3f120db14ef8f3,3b87c153adbb962c3956a65e3429c2ec69776cf2fd42b08a6633cf6cc0dfa420,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,성장률,%,분기,,,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",29,8
claim_ed030b7903aeff70,0288e86d33b30582734c8c6c42ae73d00ed568df732f30ff5ba586fbed7f463d,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출액,달러,년,,,DIMENSION_COORDINATE_GAP,"[""DIMENSION_MEMBER_CONFLICT""]",OFFICIAL_DIMENSION_MEMBER,"[""DIMENSION_MEMBER_CONFLICT""]",1,0
claim_efe06326549a5d8e,c33fece068feef658512f9b24b99a2913fec9568ce2647819ea301149a6956aa,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,판매량,대,년,,,PERIOD_FREQUENCY_GAP,"[""METADATA_INCOMPLETE"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",40,0
claim_f6144e9032ae4a7a,a330fb46fd8b905f46973829d7c788a871f89885e6c52c121b94900824509cea,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,실제 근로소득세 수입,조원,년,,,PERIOD_FREQUENCY_GAP,"[""TIME_NOT_AVAILABLE"", ""UNIT_CONFLICT""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",9,0
claim_fa38cac3c10b0e85,7cf93f3e1f90215194654577a3574d7548d572a5abe01514e51d9873f1f6f128,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,수출 대수,대,년,,현대차·기아 전체,PERIOD_FREQUENCY_GAP,"[""DIMENSION_MEMBER_CONFLICT"", ""METADATA_INCOMPLETE"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",21,0
claim_fd0b6a6685277a86,2d5d71e393b84c4f56e78d3b0af6b73b608a623d5859e57649d7ad3cb221668f,필수 조건 검사,NO_HARD_GUARD_CANDIDATE,차량 가격,만원,년,,,PERIOD_FREQUENCY_GAP,"[""METADATA_INCOMPLETE"", ""TIME_NOT_AVAILABLE""]",OFFICIAL_PERIOD_NORMALIZATION,"[""TIME_NOT_AVAILABLE""]",20,0
claim_ff5fabf31d5ab7af,318a5ab9ccf5779969db54c6aa352b70db328da22c7c29d4148a354fbfc22839,필수 조건 검사,NO_EVIDENCE_COORDINATE_CANDIDATE,고용률,%,월,,사회 초년생인 청년층,SEMANTIC_COORDINATE_AMBIGUITY,[],EXACT_COORDINATE_REVIEW,"[""NO_UNIQUE_COORDINATE_CAUSE""]",1,1
