기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,11,A00006_11,A00006_11,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,49,20,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00621,11,A00621_11,A00621_11,"건설업 취업자 수도 1년 새 16만9000명이나 줄어, 2013년 이후 모든 월 기준 가장 큰 낙폭을 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,4,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00622,1,A00622_1,A00622_1,작년 오렌지·파인애플 등 신선 과일 수입액이 14억달러(약 2조220억원)를 넘어서 역대 최대를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,38,18,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00630,16,A00630_16,A00630_16,정부는 관세 대응 수출 바우처를 포함해 올해 연간 수출 바우처 예산(2400억원)의 90%를 상반기에 집중 투입한다는 방침이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,18,12,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00630,2,A00630_2,A00630_2,"정부는 올해 무역금융을 역대 최대 규모인 366조원으로 편성하고, 관세 부과 시 타격이 큰 중소·중견기업을 지원할 ‘관세 대응 수출 바우처’도 도입하기로 했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,35,11,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00637,6,A00637_6,A00637_6,LIG넥스원은 앞서 2022년 UAE에 약 4조원대 규모 천궁-II 국산 요격미사일 수출 계약을 따낸 바 있다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,30,18,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00646,15,A00646_15,A00646_15,정부는 이를 포함해 연간 수출 바우처 예산(2400억원)의 90%를 상반기에 집중 투입하기로 했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,18,10,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00647,13,A00647_13,A00647_13,반면 작년 전국 광공업 생산은 반도체를 중심으로 수출이 회복되면서 전년보다 4.1% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,29,1,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00655,7,A00655_7,A00655_7,지난달 생산자물가는 전년과 비교해도 1.7%가량 올랐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,3,29,5,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00658,11,A00658_11,A00658_11,작년 수입액은 1조3600억원어치 정도다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,39,17,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00672,9,A00672_9,A00672_9,작년 수입액은 1조3600억원어치 정도다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,39,15,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00673,9,A00673_9,A00673_9,연간 누계 무역 수지는 10억5600만달러 적자다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,3,1,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00692,2,A00692_2,A00692_2,23일 한국자동차산업협동조합이 분석한 한국무역협회 통계에 따르면 지난해 한국의 대미 자동차부품 수출액은 82억2200만달러(약 11조8200억원)로 역대 최대치를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,10,29,11,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00692,4,A00692_4,A00692_4,"작년 전체 자동차 부품 수출액은 총 225억4700만달러(약 32조4300억원)로, 이 중 대미 수출 비중(36.5％)이 가장 컸다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,10,28,13,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00723,14,A00723_14,A00723_14,"여기에 지난달 건설업 취업자 수가 192만1000명을 기록해, 코로나 팬데믹 당시였던 2021년 이후 3년 만에 200만명 아래로 떨어졌다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,52,21,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00735,6,A00735_6,A00735_6,"하지만 작년 8월 2.1%로 낮췄고, 수출 둔화세가 본격화한 작년 3분기(7~9월) 이후인 작년 11월에는 이를 1.9%로 내려잡았다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,4,19,18,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00736,16,A00736_16,A00736_16,"90세 이상 고령층 사망자가 6만1200명으로 전년 대비 3800명 늘었고, 50대 사망자도 2만5800명으로 600명 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,22,19,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00736,17,A00736_17,A00736_17,반면 80대 사망자는 13만2600명으로 전년 대비 400명 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,1,22,11,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00740,4,A00740_4,A00740_4,"통계청이 26일 발표한 ‘2024년 12월 인구동향’에 따르면, 작년 한해 혼인 건수는 22만2422건으로 전년 대비 14.9% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,1,2,2,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00749,2,A00749_2,A00749_2,"코로나로 결혼을 미루다 2년 전쯤 뒤늦게 부부가 된 ‘엔데믹(풍토병화) 커플’이 아이를 낳기 시작한 데다, 연간 출생아 수가 70만명대로 늘어난 1990년대 초반생(1991~1995년 출생)들이 결혼해서 아이를 낳는 적령기(여성의 첫아이 출산 연령은 평균 33세)를 맞은 영향이 컸다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,50,10,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00753,7,A00753_7,A00753_7,20년 전인 2005년에도 반도체는 수출 1위 품목이었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,20,13,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00774,12,A00774_12,A00774_12,"반도체 수출은 지난달까지 9개월 연속 100억달러를 넘겼고, 15개월 연속 증가세를 유지했지만, 2월 들어 그 흐름이 깨졌다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,34,15,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00789,2,A00789_2,A00789_2,HMG그룹은 지난 1월 경기 용인시 처인구 역북동 신대지구 도시개발사업 공동주택 용지를 1813억원에 매입했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,2,2,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00830,5,A00830_5,A00830_5,대미 수입품에 대한 평균 관세율은 작년 기준 0.79% 수준이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,35,16,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00840,14,A00840_14,A00840_14,"생활물가지수는 지난해 10월(1.2%)을 저점으로 꾸준히 오름세를 보이고 있는데, 소비자들이 실제 체감하는 물가 수준이 높아지고 있음을 시사한다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,1,1,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00872,1,A00872_1,A00872_1,"인천시가 작년 1월 인구 300만명을 돌파한 이후 꾸준한 상승세를 보이며, 전국에서 가장 높은 인구 증가율을 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,2,1,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00872,2,A00872_2,A00872_2,9일 인천시에 따르면 지난달 기준 인천시 주민등록인구는 302만7854명으로 집계됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,2,2,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00904,8,A00904_8,A00904_8,"반도체 수출은 0.03% 늘어나는 데 그치면서, 전체 수출에서 차지하는 비중이 19.8%로 전년 동기 대비 0.6%포인트 줄었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,22,18,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00922,18,A00922_18,A00922_18,지난달 건설업 취업자는 190만9000명으로 전년 같은 달보다 16만7000명 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,20,4,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00922,24,A00922_24,A00922_24,제조업 취업자도 전년 같은 달 대비 7만4000명 줄며 지난해 7월(-1만1000명) 이후 8개월 연속 감소세다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,20,5,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00922,5,A00922_5,A00922_5,청년층 쉬었음 인구가 50만명을 넘어선 것은 2003년 통계 작성 이래 최초다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,22,12,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00953,14,A00953_14,A00953_14,실제 본지가 소비자물가정보서비스에서 원재료와 제품값 상승률을 비교한 가공식품 21개 중에서는 지난해 원재료 가격이 떨어졌는데도 제품값이 오른 품목이 10개나 됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,44,17,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A00970,4,A00970_4,A00970_4,◇對中 반도체 수출 30% 줄어 16일 산업통상자원부에 따르면 지난달 정보통신산업 수출액은 167억1000만달러(약 24조원)로 1년 전보다 1.2% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,6,35,17,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01111,14,A01111_14,A01111_14,"통계청이 이날 처음으로 공개한 어머니 연령별 출산율 자료에 따르면, 지난 1월 30~34세 여성 1000명당 출생아 수를 뜻하는 30대 초반 출산율은 81.1명을 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,7,43,11,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01120,30,A01120_30,A01120_30,"국내 자동차 부품 업계의 대미 수출액은 지난해 82억2200만달러(약 12조원)로, 전체 수출액의 36.5%를 차지한다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,10,24,11,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01120,8,A01120_8,A01120_8,지난해 우리나라 자동차 수출액(708억달러) 중에서 대미 수출액은 49%를 웃돌았다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,10,33,15,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01124,24,A01124_24,A01124_24,"예컨대 작년 8월 강원도 인구 감소 지역의 체류 인구 가운데 29%는 관광 목적으로 방문한 4일 이하 ‘단기 숙박객’이었지만, 수도권은 이 비율이 6.5%에 그쳤다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,2,2,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01149,18,A01149_18,A01149_18,지난해 대미수출액(약 61조3533억원)을 넘어서는 규모다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,39,15,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01164,6,A01164_6,A01164_6,"전자부품(9.1%)과 전기장비(6%) 등 생산이 늘어나면서 제조업 생산이 0.8% 증가했고, 자동차 판매(9.5%) 등 도·소매업(6.5%)과 금융·보험(2.3%) 생산 증가에 힘입어 서비스업 생산도 전월 대비 0.5% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,8,46,18,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01176,3,A01176_3,A01176_3,"지난달 31일 경상북도에 따르면, 이날 오전 8시 30분 기준으로 안동시와 의성군, 청송군, 영양군에 걸쳐 총 1490ha의 과수원이 산불 피해를 본 것으로 집계됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,4,26,25,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01180,3,A01180_3,A01180_3,지난해 우리나라 수출 6836억달러(약 1007조원) 중 대미(對美) 수출은 1278억달러로 18.7%에 달했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,6,40,14,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01185,23,A01185_23,A01185_23,"올해 1월 기준 광공업생산지수(상승)와 취업지수(회복)를 제외한 8개 지표(서비스업생산지수, 소매판매액지수, 설비투자지수, 건설기성액, 수출액, 수입액, 기업경기실사지수, 소비자기대지수)가 하강 국면에 분포했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,8,39,12,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
A01254,4,A01254_4,A01254_4,"6일 통계청의 인구 동향 통계에 따르면, 작년 대전의 일반 혼인율(남녀 인구 1000명당 혼인 건수)은 남성 12.6건, 여성 12.4건으로 전년 대비 모두 4.3건씩 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,4,2,2,HOLD,HARD_GUARD,NO_HARD_GUARD_CANDIDATE,HARD_GUARD,,HARD_GUARD,HOLD,NO_HARD_GUARD_CANDIDATE,,,,,,0,,,
