기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00006,1,A00006_1,A00006_1,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,24,6,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02256,19,A02256_19,A02256_19,작년 말... 1~10일 수출 5.4% 증가... 대미 수출도 3.9% 늘어 이달 1~10일 수출이 전년 동월 대비 5.4% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,38,10,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02343,3,A02343_3,A02343_3,통계청이 30일 발표한 ‘5월 산업활동동향’에 따르면 지난달 전(全) 산업 생산지수는 112.5(2020년을 100으로 본 상대적 지수)로 전달 대비 1.1% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,아니오,2,27,8,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02388,3,A02388_3,A02388_3,"농림축산부에 따르면, 우리나라 농식품류의 올해 상반기 수출액은 51억6000만달러로 지난해 같은 기간 대비 8.4%가 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,40,13,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02558,5,A02558_5,A02558_5,"16일 통계청이 발표한 ‘2025년 6월 고용동향’에 따르면, 지난달 15세 이상 취업자는 2909만1000명으로 전년 동월 대비 18만3000명 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,1,1,1,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02603,4,A02603_4,A02603_4,"국가데이터처가 2일 발표한 '9월 소비자물가 동향'에 따르면, 지난달 소비자물가지수는 117.06(2020=100)으로 전년 동월 대비 2.1% 상승했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,2,24,18,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02633,4,A02633_4,A02633_4,17일 국가데이터처가 발표한 ‘9월 고용동향’에 따르면 지난달 15세 이상 취업자는 2915만4000명으로 전년 동월 대비 31만2000명 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,1,1,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02657,1,A02657_1,A02657_1,정부가 10년 전 ’2040년에나 도달할 것’으로 내다본 국내총생산(GDP) 대비 국가채무 비율 52%가 내년이면 현실이 된다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,2,39,26,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02665,1,A02665_1,A02665_1,8월 출생아가 지난해 동월보다 3.8% 증가했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,1,43,39,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02665,5,A02665_5,A02665_5,"1~8월 출생아 수는 16만8671명으로, 작년 같은 기간보다 6.8% 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,43,33,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02689,3,A02689_3,A02689_3,"5일 국가데이터처가 발표한 ’2025년 8월 경제활동인구조사 비임금근로 부가조사' 결과에 따르면, 최근 1년 이내 사업을 시작한 신규 자영업자 중 ‘임금 근로자로 취업이 어려워서’ 창업을 택한 비율은 17.9%로 집계됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,10,8,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
A02700,52,A02700_52,A02700_52,1975년 4.2%였던 1인 가구 비율은 2020년 세 집 중 한 집꼴(31.7%)로 크게 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=SOURCE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,1,23,9,HOLD,EVIDENCE_CELL,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,CALCULATION,,CALCULATION,HOLD,CALCULATION_EVIDENCE_PLAN_UNRESOLVED,,,,,0,,,
