기사번호,문장번호,부모Claim번호,Claim번호,원문,분야,12개항목상태,12개항목공식조회가능,통계표검색시도,항목정보조회시도,기간정보조회시도,현재상태,현재중단단계,현재사유,대표문제,보조문제,다음실행단계,개선전상태,개선전사유,개선후상태,개선후사유,개선판정,공식통계표,공식값출처,실행횟수,코드버전,데이터버전,기록시각
A00018,4,A00018_4,A00018_4,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,20,12,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01386,10,A01386_10,A01386_10,소비자물가는 작년보다 0.1% 하락해 디플레이션 우려는 계속됐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,34,10,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01410,4,A01410_4,A01410_4,다만 트럼프 2기 행정부 출범 이후 무역 불확실성 여파로 한국의 1분기 대미 수출은 2% 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=MISSING | calculation=SOURCE | condition=MISSING | source_hint=NOT_APPLICABLE,아니오,6,39,13,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01435,11,A01435_11,A01435_11,"특히 4월 1~10일 수출은 지난해 같은 달 대비 13.7% 증가한 바 있는데, 1~20일까지로 기간을 확대하자 감소세로 전환한 것이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,35,16,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01435,15,A01435_15,A01435_15,"한편, 이달 1일부터 20일까지 수입액은 전년 동기 대비 11.8% 감소한 340억달러를 기록했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,39,13,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01435,3,A01435_3,A01435_3,"21일 관세청에 따르면, 이달 1~20일 수출액은 339억 달러로 지난해 같은 기간 대비 5.2% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,31,19,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01489,6,A01489_6,A01489_6,관세청에 따르면 이달 1~20일 수출액은 지난해 같은 기간보다 5.2% 줄었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,4,31,23,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01584,13,A01584_13,A01584_13,이로 인해 근원물가에 해당하는 ‘농산물 및 석유류 제외 지수’는 전년 동월 대비 2.4% 오르면서 작년 3월(2.4%) 이후 13개월 만에 가장 높은 상승폭을 보였다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,44,19,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01589,1,A01589_1,A01589_1,1 올 들어 물가 상승률이 지난달까지 넉 달 연속으로 2%대를 유지하고 있다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,3,29,12,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01629,34,A01629_34,A01629_34,전월세 등 주택 임대 가격 물가 지수나 내구재처럼 가격 변동성이 높지 않은 커피 외식 물가 상승률도 3.2%에 달했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,5,56,43,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01708,11,A01708_11,A01708_11,1~10일 수입액은 146억달러로 지난해 같은 기간 대비 15.9% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,38,13,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01708,6,A01708_6,A01708_6,"주요 품목별로 살펴보면, 반도체는 지난해 같은 기간 대비 수출이 14.0% 증가했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,6,34,17,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01732,12,A01732_12,A01732_12,작년 정부의 가계 부채 관리 강화로 GDP 대비 가계 부채 비율은 전년(93.6%)에 비해서는 떨어졌으나 여전히 세계 평균(60.3%)을 크게 웃돈다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,39,18,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01735,4,A01735_4,A01735_4,"관세청에 따르면, 이달 1~10일 수출액은 128억3100만달러로 지난해 같은 기간 대비 23.8%가 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,18,12,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01737,12,A01737_12,A01737_12,"코로나 시기였던 지난 2021년 7월(7.2%) 이후 45개월만의 최대치로, 20대 후반 실업률이 7%대에 올라선 것 자체가 2022년 4월(7%) 이후 3년 만이다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,1,19,11,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01799,3,A01799_3,A01799_3,"18일 관세청에 따르면, 올해 1∼3월 김치 수입액은 4756만달러(약 670억원)로 작년 같은 기간보다 16.7% 늘었다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,1,20,13,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01853,3,A01853_3,A01853_3,전월 대비 생산자물가가 하락한 것은 지난해 10월(-0.1%) 이후 6개월만이다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,29,19,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01853,9,A01853_9,A01853_9,"이문희 한은 물가통계팀장은 “5월 들어 중순까지 평균 유가가 전월보다 6% 정도 하락한 만큼, 이런 추세가 이어지면 5월 생산자물가에도 하방 압력으로 작용할 수 있을 것”이라고 했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,44,8,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01903,12,A01903_12,A01903_12,"작년 기준 65세 임금근로자 중 61.2%는 비정규직이었고, 70세 임금근로자 중에서는 이 비율이 85.1%까지 치솟았다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=NOT_APPLICABLE,예,3,38,21,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01931,15,A01931_15,A01931_15,2009년부터 지급을 시작한 전기차 보조... 관세 영향으로 5월 들어 對美 수출 14% 넘게 줄어 도널드 트럼프 미 행정부의 고율 관세 여파로 대미(對美) 수출이 지난달에 이어 이달도 마이너스를 기록했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,6,18,8,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A01944,4,A01944_4,A01944_4,"30일 통계청이 발표한 ‘4월 산업활동동향’에 다르면, 지난달 전(全) 산업 생산지수는 113.5(2020=100)로 전월 대비 0.8% 감소했다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,2,20,13,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01952,5,A01952_5,A01952_5,전 산업 생산은 지난 1월 1.6% 감소한 이후 2~3월에는 2개월 연속 증가세를 보였지만 다시 감소로 돌아섰다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,2,1,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A01987,26,A01987_26,A01987_26,"월 수출액이 전년 동기보다 줄어든 것은 설 연휴가 포... 트럼프 ""철강·알루미늄 관세 25→50% 인상""…韓 철강 수출 직격 도널드 트럼프 미 대통령이 30일(현지 시각) 외국산 철강·알루미늄 제품에 대해 부과 중인 관세를 현행 25%에서 50%로 인상한다고 밝혔다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,39,14,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02010,17,A02010_17,A02010_17,"가공식품 물가 상승률은 전달과 같은 4.1%를 기록, 2023년 12월(4.2%) 이후 가장 높은 수준으로 집계됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,42,26,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02010,8,A02010_8,A02010_8,석유류 물가는 작년 12월(1%)부터 상승하기 시작해 올 1월 상승폭이 7.3%까지 올랐다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,21,15,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02018,4,A02018_4,A02018_4,작년 12월 1.9%로 1%대였던 물가 상승률은 올 들어 지난 1월(2.2%)부터 4월(2.1%)까지 2%대를 유지했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,44,44,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02037,4,A02037_4,A02037_4,"5일 기획재정부에 따르면, 1차 추가경정예산안(추경)까지 고려한 올해 국내총생산(GDP) 대비 국가 채무 비율은 48.4%를 기록할 것으로 추산된다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=SOURCE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,2,39,23,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A02038,24,A02038_24,A02038_24,"스페인 가계 부채는 부동산 시장 활황을 등에 업고 2000년부터 10년간 3배로 늘어, 2010년에는 GDP 대비 85% 수준이 됐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,2,27,10,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A02113,10,A02113_10,A02113_10,작년 이 기간 수출액은 전년 동기 대비 4% 감소했다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,4,33,19,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A02113,3,A02113_3,A02113_3,"11일 관세청은 ‘6월 1~10일 수출입 현황’에서, 이달 1~10일 수출액이 154억7500만달러로 전년 동기(146억8400만달러) 대비 5.4% 늘었다고 밝혔다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=MISSING | source_hint=SOURCE,아니오,4,18,6,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A02266,14,A02266_14,A02266_14,작년 말... 1~10일 수출 5.4% 증가... 대미 수출도 3.9% 늘어 이달 1~10일 수출이 전년 동월 대비 5.4% 늘었다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=SOURCE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,6,28,19,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A02266,3,A02266_3,A02266_3,관세청은 23일 이달 1~20일 수출이 전년 같은 기간보다 8.3% 늘어난 386억7200만달러로 집계됐다고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,36,11,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02375,24,A02375_24,A02375_24,"지난달 외식 물가 상승률도 3.1%로 집계돼, 지난 2월(3%)부터 3달 연속 3%대 상승률을 보였다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,5,65,55,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02375,3,A02375_3,A02375_3,"2일 통계청이 발표한 ‘6월 소비자 물가 동향’에 따르면, 지난달 소비자물가 지수는 116.31(2020년=100)로 작년 동월 대비 2.2% 올랐다.",,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,4,35,35,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02375,4,A02375_4,A02375_4,지난달 소비자 물가 상승폭은 1월(2.2%) 이후 가장 높다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=MISSING | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,아니오,4,51,14,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02381,16,A02381_16,A02381_16,대당 판매 가격을 평균 270달러(약 36만7000원) 올린 것이... 1주일 뒤 추가 상호관세… 이미 車·철강은 수출 마이너스 1일 산업통상자원부는 올해 상반기 우리 수출이 작년보다 0.03% 줄어든 3347억달러(약 453조6000억원)에 그쳤다고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=SOURCE,예,4,37,13,HOLD,SEMANTIC_MATCH,AMBIGUOUS_MARGIN,SEMANTIC,EVIDENCE_CELL:AMBIGUOUS_MARGIN,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,AMBIGUOUS_MARGIN,,,,,,0,,,
A02385,26,A02385_26,A02385_26,지난달 가공식품 물가 상승 폭은 2023년 11월(5.1%) 이후 19개월 만에 최고다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=SOURCE | calculation=SOURCE | condition=SOURCE | source_hint=NOT_APPLICABLE,예,3,29,28,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
A02385,3,A02385_3,A02385_3,2일 통계청은 ‘6월 소비자 물가 동향’에서 지난달 소비자 물가가 작년 동월 대비 2.2% 올랐다고 밝혔다.,,indicator=SOURCE | value=SOURCE | unit=SOURCE | time=SOURCE | frequency=SOURCE | region=NOT_APPLICABLE | population=NOT_APPLICABLE | dimension=NOT_APPLICABLE | comparison=NOT_APPLICABLE | calculation=SOURCE | condition=NOT_APPLICABLE | source_hint=SOURCE,예,4,51,39,HOLD,SEMANTIC_MATCH,LOW_SEMANTIC_SCORE,SEMANTIC,EVIDENCE_CELL:LOW_SEMANTIC_SCORE,SEMANTIC_MAPPING~SEMANTIC_MATCH,HOLD,LOW_SEMANTIC_SCORE,,,,,,0,,,
