Claim번호,기사번호,문장번호,기사일,원문,원래시점,복구시점,개선전상태,개선후상태,복구판정,복구사유
A01935_14,A01935,14,2025-05-29,"이 총재는 성장률 충격에도 0.5%포인트 인하가 아닌 0.25%포인트 인하를 결정한 배경에는 “유동성을 더 공급할 경우에는 주택 가격, 자산 가격으로 유동성이 흘러 들어와 코로나 때 실수(자산가격 폭등) 반복할 가능성이 크기 때문”이라고 했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01947_8,A01947,8,2025-05-30,◇꾹 닫힌 지갑 “코로나보다 힘들다” 한국 GDP(국내총생산)의 14%를 차지하는 건설 경기는 ‘마이너스 행진’ 중이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01947_27,A01947,27,2025-05-30,관세전쟁과 상관없이 성장률은 1%를 넘지 못한다는 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01947_37,A01947,37,2025-05-30,이대로면 사상 처음 한국 성장률이 2년 연속 2%를 밑돌게 된다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02019_60,A02019,60,2025-06-05,GDP(국내총생산) 대비 국가 채무 비율이 50%에 육박하는 상황에서 재정 건전성이 언제 무너질지 모른다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02020_69,A02020,69,2025-06-05,GDP(국내총생산) 대비 국가 채무 비율이 50%에 육박하는 상황에서 재정 건전성이 언제 무너질지 모른다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02022_14,A02022,14,2025-06-05,우리나라 역시 잠재성장률이 연 2%까지 떨어진 상황이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02042_47,A02042,47,2025-06-07,이런 가운데 한국 경제 성장률은 0%대로 떨어져 ‘피크 코리아’라는 말까지 나도는 상황입니다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02070_6,A02070,6,2025-06-09,"신차 시장에서 인기를 얻는 하이브리드는 물론이고 휘발유, 경유 등 다른 차종 가운데 가장 높은 성장률을 보이며 분기 기준 판매량이 처음으로 1만대를 넘겼다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02209_2,A02209,2,2025-06-19,국내총생산(GDP) 대비 국가채무 비율도 49%를 넘어 ‘재정준칙 상한선’인 50%에 육박하게 된다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02209_13,A02209,13,2025-06-19,GDP 대비 관리재정수지 비율은 –4.2%로 재정준칙 목표치(-3%)를 넘어선다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02209_15,A02209,15,2025-06-19,기획재정부는 관리재정수지 적자 규모를 GDP의 3% 이내로 제한하는 재정준칙 법제화를 추진해왔다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02219_36,A02219,36,2025-06-20,"국내총생산(GDP) 대비 국가채무 비율도 ... ""세금은 우리가 70% 넘게 내는데…"" 상위 10%의 불만 정부가 2차 추가경정예산(추경)안을 통해 국민 1인당 15~52만원의 민생회복 소비 쿠폰을 지급하기로 하자, 최저 구간인 15만원을 받게 된 상...",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02258_27,A02258,27,2025-06-23,"배선영 전 연세대 경제대학원 교수는 “설비 투자는 GDP의 10% 정도를 차지해, 감소하면 국가 경쟁력에 나쁜 영향을 준다”며 “정부가 각종 규제를 완화해 기업의 설비 투자를 독려해야 한다”고 말했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02291_5,A02291,5,2025-06-26,"실질 지역내총생산 성장률은 경북(1.6%), 울산(1.4%), 서울(1.0%) 순으로 높았다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02291_16,A02291,16,2025-06-26,"특히 대구(-24.3%), 광주(-18.5%), 세종(-19.4%) 등 8개 광역지자체의 건설업 성장률은 전국 평균 건설업 성장률보다 크게 낮은 것으로 집계됐다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02301_5,A02301,5,2025-06-26,"중기부 측은 “사우디는 GDP(국내총생산)가 1조1000억달러로 중동 최대지만, 한국 중소기업의 사우디 수출은 10억달러(약 1조3600억원)로 전체 중소기업 수출의 0.9%에 불과한 상황”이라고 했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02416_19,A02416,19,2025-07-05,정부가 예산을 1원 쓰면 GDP는 0.4~0.5원 늘어난다는 뜻이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02416_20,A02416,20,2025-07-05,이에 이 총재는 최근 추경 편성으로 성장률이 0.2%포인트 오를 것이라고 하기도 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02416_22,A02416,22,2025-07-05,◇“2차 추경으로 성장률 0.8→0.9%” 추경이 어떤 효과를 보일지는 민생 회복 소비 쿠폰에 달려 있다는 말이 나온다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02416_26,A02416,26,2025-07-05,국회 예산정책처는 추경에 따른 성장률 증가 폭이 0.14~0.32%포인트에 그칠 것이라고 봤다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02416_28,A02416,28,2025-07-05,반면 소비 유발 효과가 작을 경우 성장률은 0.94%로 0.14%포인트 늘어나는 데 그칠 것으로 예산정책처는 봤다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02450_6,A02450,6,2025-07-08,“정부가 재정을 100원 쓰면 GDP(국내총생산)가 80~120원 증가하는 재정승수 효과가 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02476_14,A02476,14,2025-07-10,32조원 규모로 확정된 2차 추경에 대해선 “경제성장률을 0.1%포인트 올리는 효과가 있다고 한은은 보고 있다”고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02488_11,A02488,11,2025-07-11,한편 이 총재는 약 32조원 규모의 2차 추가경정예산에 대해선 “성장률을 0.1%포인트 올리는 효과가 있다고 보고 있다”면서도 “소비 쿠폰 등의 실제 효과는 데이터가 나오고 나서 확인해야 할 것”이라고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02656_8,A02656,8,2025-10-27,"잠재성장률이란 자본·노동력을 최대한 활용했을 때 달성할 수 있는 성장률로, 이 총재의 말은 우리나라가 최선을 다해도 GDP가 2%도 채 늘지 않는다는 뜻이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00746_10,A00746,10,2025-02-27,해외 여행객과 해외 ‘직구’가 늘어난 영향이다... 'K푸드 쇼핑'이 필수 관광코스… 명동에 수퍼마켓 175곳 #1. “저 왕꿈틀이 젤리도 사자!,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00279_13,A00279,13,2025-01-22,사망자 수가 출생아 수를 웃돌아 인구는 9124명 자연 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00292_8,A00292,8,2025-01-23,합계 출산율(여성 1명이 평생 낳을 것으로 기대되는 평균 출생아 수)도 9년 만에 반등할 가능성이 커졌다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00354_8,A00354,8,2025-01-28,이 중 약 절반인 1700만 명이 고령 인구가 된다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00354_10,A00354,10,2025-01-28,이 지표는 15~64세 생산연령인구 1명이 65세 이상의 고령 인구 몇 명을 부양해야 하는지를 나타낸다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00354_12,A00354,12,2025-01-28,"지금 우리는 생산연령인구 3.6명이 고령 인구 1명을 부양하고 있는데, 약 50년 후에는 생산연령인구 1명이 고령 인구 1명을 부양해야 한다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00354_26,A00354,26,2025-01-28,이들은 954만 명으로 인구의 18.6%를 차지한다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00354_37,A00354,37,2025-01-28,우리 아이들이 소득의 50%를 고령 인구 부양을 위해 국가에 헌납해야 한다면 한국에 남아있거나 열심히 일할 이유가 없을 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00383_7,A00383,7,2025-01-30,"경기도(1369만4685명)에 이어 가장 많은 인구가 집중돼 있는 서울(933만1828명)에서, 서민들이 즐겨 찾는 호프집이 지속적으로 줄고 있다는 건 그만큼 내수부진이 심각하다는 의미다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00385_15,A00385,15,2025-01-30,대한민국 주민등록 인구 중 65세 이상 비율이 20%를 넘어섰다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00491_5,A00491,5,2025-02-07,캘리포니아 인구 중 약 0.5%가 화재 당시 대피 명령을 받았다고 골드만삭스가 집계했을 만큼 산불이 고용 시장에 미치는 영향이 컸다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00519_8,A00519,8,2025-02-09,"이런 흐름 속에 청년도약계좌 총 가입자는 166만명까지 불어났는데, 가입 가능한 청년 추산 인구(600만명)의 28%에 달한다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00670_8,A00670,8,2025-02-21,이 기간 인구 10만명 미만 소도시는 16% 오르는 데 그쳤다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00709_9,A00709,9,2025-02-24,"1980년대 후반(1986~1990년)에는 매년 62만~64만명대가 태어났지만, 1990년대 초반(1991~1995년)에는 출생아 수가 70만~73만대로 늘었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00736_18,A00736,18,2025-02-26,출생아보다 사망자가 더 많이 늘어나면서 인구는 12만명 자연 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00736_20,A00736,20,2025-02-26,지역별로는 세종을 제외한 전국 16개 시·도에서 인구가 자연 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00749_11,A00749,11,2025-02-27,인구가 늘어난 1990년대 초반생이 아이를 많이 낳는 연령대인 30대 초반에 진입한 데다 결혼을 하고 아이를 낳는 전통적인 가정상을 꾸리려는 20·30대가 늘어난 영향이라는 게 정부 진단이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00749_23,A00749,23,2025-02-27,박현정 통계청 과장은 “현재 20대가 30대보다 인구수 자체가 더 적다”며 “20대들이 30대로 이동하면 출생아 수가 줄어들 수 있다”고 했다.,,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A00793_17,A00793,17,2025-03-02,"1월 말 기준 정선군 인구가 3만3400여명인데, 지역 인구의 약 12배의 관광객 유치 효과가 있었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00837_6,A00837,6,2025-03-06,오일 달러가 넘치는 중동 국가를 제외하고 인구 1000만명 이상 국가 중 1인당 국민소득 4만달러 벽을 뚫은 나라는 10곳이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00837_34,A00837,34,2025-03-06,인구 5000만명 이상 국가로선 세계 최초였지만 거기까지였다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00872_5,A00872,5,2025-03-09,인천은 지난 1년간 서울과 6대 광역시 중 유일하게 인구가 늘어난 곳이기도 하다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00874_4,A00874,4,2025-03-09,이는 생산연령인구(15∼64세) 중 50세 이상 비중인 36.1% 대비 12.5%포인트 높은 수치다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A00922_33,A00922,33,2025-03-12,한국경제인협회가 매출액 500대 기업을 대상으로 실시한 ’2... 중소기업 고령화 심화...직원 중 절반은 50세 이상 지난 10년간 중소기업의 고령화가 꾸준히 심화돼 직원 중 50세 이상 고령자 비율이 절반가량을 차지한다는 조사 결과가 나왔다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01124_8,A01124,8,2025-03-28,"◇‘서핑 성지’ 양양, 체류 인구가 등록 인구 28배 서핑과 해변 클럽 등을 즐기려는 청년들로 붐비는 양양군이 여름철 관광 특수를 누린 대표적 사례다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01124_10,A01124,10,2025-03-28,그 결과 생활 인구는 80만명을 넘겼다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01124_11,A01124,11,2025-03-28,인근 고성군도 해수욕장으로 피서객이 모여들며 체류 인구가 등록 인구의 24.6배에 달했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01124_19,A01124,19,2025-03-28,강원도(66.7%)뿐만 아니라 수도권 인구 감소 지역에서도 체류 인구의 소비 비율이 56.4%로 절반을 넘어섰다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01124_25,A01124,25,2025-03-28,"반대로 체류 인구 가운데 대도시에 집을 두고 인구 감소 지역으로 통근·통학하는 이들의 비율은 강원도의 경우 7.4%에 불과했지만, 수도권은 36%나 됐다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01124_26,A01124,26,2025-03-28,"차미숙 국토연구원 선임연구위원은 “생활 인구의 숫자 자체를 늘리는 것을 넘어서, 질적으로 지역별 생활 인구의 특성을 분석해야 한다”며 “우리 지역을 방문하는 사람이 60대 ‘4도3촌(4일은 도시에서 3일은 농촌에서 생활)’하는 주말 농부인지 20대의 장거리 통근 직장인인지 따져 보고, 그에 맞춘 지역 브랜드를 키워야 한다”고 했다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01132_12,A01132,12,2025-03-29,"한편 29일 경찰 등에 따르면, 경북 지역 산불 관련 사망자는 26명으로 확인됐다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01132_14,A01132,14,2025-03-29,지난 22일 경남 산청면에서 숨진 산불 진화대원 4명을 포함하면 이번 영남권 산불 전체 사망자는 30명으로 집계된다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01167_3,A01167,3,2025-03-31,65세 이상이 인구의 20% 이상을 차지하는 ‘초고령 사회’에 진입한 한국에서 ‘골다공증 치료제’ 출시 경쟁이 본격화했다는 평가가 나온다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01254_14,A01254,14,2025-04-07,"대전이 혼인율 1위 지역으로 올라선 이유로는 머크·SK온·LIG넥스원 등 대기업 유치로 20·30대 청년층 인구가 늘어난 점, 대전시의 최대 500만원 결혼 장려금 일시불 지원 등이 꼽힌다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01254_40,A01254,40,2025-04-07,☞일반 혼인율 인구 1000명당 혼인 건수. 인구수가 다른 지역 간 혼인 추이 비교 등에 쓰인다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01285_17,A01285,17,2025-04-09,특히 청년층 쉬었음 인구는 45만5000명으로 1년새 5만2000명 불었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01385_13,A01385,13,2025-04-17,전체어가 인구는 8만7000명에서 8만4000명으로 3.6% 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01385_14,A01385,14,2025-04-17,다만 같은 기간고령 인구 비율은 48.0%에서 50.9%로 2.9%포인트 증가했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01385_16,A01385,16,2025-04-17,임가 인구는 20만4000명에서 20만명으로 2.2% 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01478_16,A01478,16,2025-04-24,합계출산율은 여성 1명이 가임 기간(15~49세)에 낳을 것으로 기대되는 평균 출생아 수를 말한다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01478_17,A01478,17,2025-04-24,통계청 관계자는 “코로나 이후 혼인 건수가 증가하면서 출생아 수 증가세도 이어지고 있다”며 “주된 출산 연령층에 해당하는 30대 초반 여성 인구가 증가한 부분과 출산에 대한 인식이 긍정적으로 변화하고 있는 부분도 영향을 미쳤다”고 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01543_22,A01543,22,2025-04-29,젊은 유동 인구가 많은 상권인 서울 홍대입구 인근에는 무인점포 중 사진관 비율이 52%였다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01641_12,A01641,12,2025-05-07,"둘을 합하면 2543만4000명으로, 전체 인구의 절반에 이른다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01664_14,A01664,14,2025-05-08,"이 후보는 또 “일하는 ... 기본소득 또 꺼낸 李 ""농어촌에 月20만원씩"" 이재명 더불어민주당 대선 후보가 7일 전북·충남 유세에서 “재량 예산을 늘려서 지역 화폐를 대량 발행하고 농어촌 기본소득을 지급하면 농촌 인구가... 박순찬 기자 한국을 대표하는 삼성, SK, 현대차, LG 등 국내 주요 기업들을 담당합니다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A01866_9,A01866,9,2025-05-24,"중소기업 관련 단체들은 최근 ‘주 52시간제, 중대재해처벌법, 최저임금’ 등 이른바 3대 노동 문제 개선과 인구부(部) 신설을 통한 인력난 해소, 중소 제조업 경쟁력 강화 등의 정책을 차기 정부에 제안한 바 있다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A01933_9,A01933,9,2025-05-29,"하지만 주식 계좌 보유율은 인구 대비 10% 수준으로, 금융시장 확대 여지는 크다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02142_1,A02142,1,2025-06-14,"맥킨지 ""민간 자본의 시니어주택 혁신 투자 방식"" 세계 고령화 가속…시니어주택 공급률 5%도 안돼 노후주택 리모델링부터 렌트·분양 병행 [땅집고] 고령화는 세계적 화두다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02204_10,A02204,10,2025-06-19,"경북 봉화군, 인천 강화군 등 84개 인구감소지역의 경우 1인당 2만원이 추가 지원, 1인당 17~42만원의 소비쿠폰이 지급된다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02206_12,A02206,12,2025-06-19,"경북 봉화군, 인천 강화군 등 84개 인구감소지역에서는 할인율이 10%에서 15%로 높아진다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02206_13,A02206,13,2025-06-19,인구감소지역에서 1만원권 지역화폐를 8500원에 살 수 있게 된 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02213_7,A02213,7,2025-06-20,"경북 봉화, 인천 옹진 등 84개 농어촌 인구 소멸 지역 주민 411만명은 1인당 2만원을 더 받는다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02222_5,A02222,5,2025-06-20,"또 경북 봉화, 인천 강화 등 84개 인구 소멸 지역 지역 화폐는 할인율이 10%에서 15%로 높아진다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02222_6,A02222,6,2025-06-20,인구 감소 지역에서는 1만원권 지역 화폐를 8500원에 살 수 있게 된 것이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02223_7,A02223,7,2025-06-20,"경북 봉화, 인천 강화 등 전국 84개의 농어촌 인구 소멸 지역 주민 411만명은 1인당 2만원을 더 받는다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02282_7,A02282,7,2025-06-25,"시도별 출생아 수를 보면, 제주를 제외한 전국 16개 시도에서 출생아 수가 늘었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02340_11,A02340,11,2025-06-29,"반려동물을 기르는 개인은 1546만명으로, 총인구의 29.9%에 이른다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02345_1,A02345,1,2025-06-30,농림축산식품부가 1일부터 인구 소멸 지역으로 여행을 떠나는 관광객들의 대중교통비를 최대 50%까지 할인해주는 ‘농촌투어패스’ 사업을 진행한다고 30일 밝혔다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02345_2,A02345,2,2025-06-30,"농식품부에 따르면, 이 패스를 구매한 관광객이 강원 삼척이나 충청 괴산 등 인구 소멸 지역으로 지정된 33개 기초자치단체를 갈 경우 버스비를 1만원 한도 내에서 최대 50%까지 할인해준다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02395_6,A02395,6,2025-07-04,이는 당시 추계 인구(2150만2386명)의 0.8%였다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02395_9,A02395,9,2025-07-04,1930년 당시 조선인 인구 2043만명 중 1588만8127명(77.8%)이 ‘가나와 국문을 둘 다 못 하는 자’로 집계됐다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02395_10,A02395,10,2025-07-04,"1960년에는 13세 이상 인구 중 문맹자 수가 445만4004명으로 크게 줄었고, 1970년에는 학교에 입학하지 않은 6세 이상 인구(약 512만명) 중 글을 모른다고 응답한 인구가 229만9323명으로 나타났다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02412_5,A02412,5,2025-07-05,"수도권(서울·경기·인천) 이외 지역 주민은 3만원을, 경북 봉화와 인천 강화 등 농·어촌 인구감소지역(84개 시·군) 주민은 5만원을 더 받는다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02414_2,A02414,2,2025-07-05,"전 국민에게 15만~50만원을 지급하되, 비수도권과 농어촌 인구 감소 지역 주민에게는 각각 3만원, 5만원을 추가 지원하는 것으로 확정됐다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02414_9,A02414,9,2025-07-05,당초 정부는 1차 지급 때 전국 84개의 농어촌 인구 소멸 지역 주민들에게 소득 수준과 무관하게 1인당 2만원을 더 주기로 했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02414_10,A02414,10,2025-07-05,"그러나 추경안 국회 심사 과정에서 민주당이 비수도권과 농어촌 인구 소멸 지역 거주자들에게 각각 3만원, 5만원의 소비 쿠폰을 추가 지급하자며 6000억원가량을 증액했고 이 안이 국회 본회의에서 통과됐다.",,,HUMAN_REVIEW,HUMAN_REVIEW,보류,UNSAFE_EXPLICIT_MONTH
A02414_11,A02414,11,2025-07-05,"최종적으로 비수도권 거주자는 최대 53만원, 인구 소멸 지역 거주자는 최대 55만원까지 소비 쿠폰을 받을 수 있게 된 것이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02438_2,A02438,2,2025-07-07,15만~45만원(차상위계층은 30만원·기초생활수급자는 40만원)의 전 국민 1차 지급분과 수도권 외 지역 주민 대상 추가 3만원(경북 봉화 등 농어촌 인구 감소 지역 83개 시군은 5만원)은 이달 21일~9월 12일 지급된다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02452_24,A02452,24,2025-07-08,"실제 전북의 인구 감소 지역 10곳 중 정읍시를 제외한 9곳 모두 종이 지역 화폐를 발행하고 있고, 전남은 인구 감소 지역 16곳 모두 종이 지역 화폐를 발행하고 있다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02617_4,A02617,4,2025-10-09,인구 감소 지역 89곳 중 전국 평균보다 자살률이 높은 곳은 67곳(75.3%)에 달했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02617_14,A02617,14,2025-10-09,특히 정신과 의사가 한 명도 없는 전국 28곳 중 24곳(86%)이 인구 감소 지역이었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02623_1,A02623,1,2025-10-12,저출산 고령화가 장기화하면서 20대 인구가 급격히 감소해 처음으로 70대 이상 노년층보다 적어진 것으로 나타났다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02624_4,A02624,4,2025-10-12,70대 이상 인구(654만3000명)보다 24만1000명 적은 수치다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02624_5,A02624,5,2025-10-12,20대 인구의 감소 폭은 전 연령대 중 가장 컸다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02624_9,A02624,9,2025-10-12,이 탓에 관련 통계가 집계된 지 100년 만에 70대 이상 인구보다 적은 수치를 기록했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02624_12,A02624,12,2025-10-12,인구 자체가 줄면서 노동 시장에서의 20대 비중은 줄어들고 있다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02641_6,A02641,6,2025-10-21,"조사 항목은 총 55개로 성명, 성별, 교육 정도, 직업, 결혼 계획 및 의향, 가족 돌봄 시간, 1인 가구 사유 등이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02665_9,A02665,9,2025-10-29,시도별로는 서울과 부산 등 12개 시도에선 출생아가 늘었고 대전과 세종 등 5개 시도에선 줄었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02665_13,A02665,13,2025-10-29,8월 사망자 수는 1년 전보다 3150명(9.8%) 감소한 2만8971명이다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02665_15,A02665,15,2025-10-29,사망자 수가 출생아 수를 웃돌면서 8월 인구는 8105명 자연 감소했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02665_17,A02665,17,2025-10-29,"인구가 순이동된 도시는 인천(3422명), 충북(861명), 충남(823명) 등이고, 순유출된 도시는 서울(-3382명), 부산(-731명), 경북(-620명) 등이다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02670_1,A02670,1,2025-10-30,우리나라에서 거주 중인 외국인 주민 수가 사상 최대 규모인 258만명을 기록했다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02670_2,A02670,2,2025-10-30,전체 인구의 5%를 차지한다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02670_5,A02670,5,2025-10-30,외국인 주민 수는 총 258만3626명으로 집계됐다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02670_6,A02670,6,2025-10-30,인구주택총조사 기준 우리나라 총인구인 5180만5547명의 5%다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02670_11,A02670,11,2025-10-30,"외국인주민이 가장 많이 거주하는 시·도는 경기(84만5074명), 서울(45만888명), 충남(16만9245명), 인천(16만9219명), 경남(16만2714명) 순이었다.",,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02670_12,A02670,12,2025-10-30,전체 외국인주민의 56.7%가 수도권에 거주하고 있었다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
A02687_2,A02687,2,2025-11-05,▲10월 28일 자 A12면 “경부선보다 열차 수 적은 호남 KTX… 영호남 2.5배 인구 차이 감안한 운행” 기사에서 ‘통계청’을 ‘국가데이터처’로 바로잡습니다.,,,HOLD,HOLD,보류,UNSAFE_EXPLICIT_MONTH
